camp_owner,budget_year,budget
วิทยาเขตตรัง,2553,82967.0
วิทยาเขตตรัง,2554,8333.0
วิทยาเขตตรัง,2555,1008642.0
วิทยาเขตตรัง,2556,1642543.0
วิทยาเขตตรัง,2557,1406309.52
วิทยาเขตตรัง,2558,2311341.4699999997
วิทยาเขตตรัง,2559,6849536.16
วิทยาเขตตรัง,2560,1842164.84
วิทยาเขตตรัง,2561,5323226.66
วิทยาเขตตรัง,2562,4279635.17
วิทยาเขตปัตตานี,2553,29504911.18
วิทยาเขตปัตตานี,2554,33952466.75
วิทยาเขตปัตตานี,2555,32570165.03
วิทยาเขตปัตตานี,2556,34139682.01
วิทยาเขตปัตตานี,2557,22889982.85
วิทยาเขตปัตตานี,2558,24210734.64
วิทยาเขตปัตตานี,2559,43708693.919999994
วิทยาเขตปัตตานี,2560,116661301.41999996
วิทยาเขตปัตตานี,2561,66541290.31999997
วิทยาเขตปัตตานี,2562,78996937.43
วิทยาเขตภูเก็ต,2553,1156163.0
วิทยาเขตภูเก็ต,2554,1639072.0
วิทยาเขตภูเก็ต,2555,12406321.0
วิทยาเขตภูเก็ต,2556,3115901.0
วิทยาเขตภูเก็ต,2557,2960804.0
วิทยาเขตภูเก็ต,2558,2785081.5199999996
วิทยาเขตภูเก็ต,2559,8262748.89
วิทยาเขตภูเก็ต,2560,15348151.930000002
วิทยาเขตภูเก็ต,2561,10221212.43
วิทยาเขตภูเก็ต,2562,12376159.98
วิทยาเขตสุราษฎร์ธานี,2553,4543841.0
วิทยาเขตสุราษฎร์ธานี,2554,4060735.0
วิทยาเขตสุราษฎร์ธานี,2555,8277816.0
วิทยาเขตสุราษฎร์ธานี,2556,9691667.700000007
วิทยาเขตสุราษฎร์ธานี,2557,14066108.42
วิทยาเขตสุราษฎร์ธานี,2558,19970623.32999999
วิทยาเขตสุราษฎร์ธานี,2559,28150215.110000003
วิทยาเขตสุราษฎร์ธานี,2560,39060317.25000001
วิทยาเขตสุราษฎร์ธานี,2561,30230588.249999996
วิทยาเขตสุราษฎร์ธานี,2562,108741247.12000002
วิทยาเขตหาดใหญ่,2553,209678707.12999997
วิทยาเขตหาดใหญ่,2554,405094852.55999994
วิทยาเขตหาดใหญ่,2555,448697902.73
วิทยาเขตหาดใหญ่,2556,321903752.11
วิทยาเขตหาดใหญ่,2557,231129659.33
วิทยาเขตหาดใหญ่,2558,279136057.91
วิทยาเขตหาดใหญ่,2559,291920689.8200002
วิทยาเขตหาดใหญ่,2560,585184275.3699996
วิทยาเขตหาดใหญ่,2561,699411683.3299999
วิทยาเขตหาดใหญ่,2562,670400408.9999998
